2025-06-27 12:11:41 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:11:40', 'cpu_percent': 12.6, 'memory_percent': 87.9, 'disk_percent': 77.7, 'net_sent': 42300630, 'net_recv': 643597565}
2025-06-27 12:11:52 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:11:51', 'cpu_percent': 6.8, 'memory_percent': 89.6, 'disk_percent': 77.7, 'net_sent': 42366198, 'net_recv': 643647060}
2025-06-27 12:12:03 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:02', 'cpu_percent': 8.9, 'memory_percent': 90.4, 'disk_percent': 77.7, 'net_sent': 42441080, 'net_recv': 643716614}
2025-06-27 12:12:14 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:13', 'cpu_percent': 42.2, 'memory_percent': 83.5, 'disk_percent': 77.7, 'net_sent': 42480449, 'net_recv': 643724515}
2025-06-27 12:12:25 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:24', 'cpu_percent': 8.5, 'memory_percent': 83.9, 'disk_percent': 77.7, 'net_sent': 42575041, 'net_recv': 643765798}
2025-06-27 12:12:36 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:35', 'cpu_percent': 12.1, 'memory_percent': 83.2, 'disk_percent': 77.7, 'net_sent': 42579853, 'net_recv': 643768762}
2025-06-27 12:12:47 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:46', 'cpu_percent': 20.4, 'memory_percent': 84.7, 'disk_percent': 77.7, 'net_sent': 42597610, 'net_recv': 643786183}
2025-06-27 12:12:58 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:12:57', 'cpu_percent': 9.1, 'memory_percent': 84.8, 'disk_percent': 77.7, 'net_sent': 42608962, 'net_recv': 643796625}
2025-06-27 12:13:09 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:13:08', 'cpu_percent': 38.2, 'memory_percent': 90.1, 'disk_percent': 77.7, 'net_sent': 42633234, 'net_recv': 643824003}
2025-06-27 12:13:20 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:13:19', 'cpu_percent': 9.7, 'memory_percent': 91.6, 'disk_percent': 77.7, 'net_sent': 43006139, 'net_recv': 644038910}
2025-06-27 12:13:31 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:13:30', 'cpu_percent': 15.7, 'memory_percent': 91.5, 'disk_percent': 77.7, 'net_sent': 43075961, 'net_recv': 644084243}
2025-06-27 12:13:42 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:13:41', 'cpu_percent': 10.7, 'memory_percent': 87.6, 'disk_percent': 77.7, 'net_sent': 43105533, 'net_recv': 644095577}
2025-06-27 12:13:53 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:13:52', 'cpu_percent': 8.0, 'memory_percent': 89.9, 'disk_percent': 77.7, 'net_sent': 43161704, 'net_recv': 644141143}
2025-06-27 12:14:04 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:03', 'cpu_percent': 4.5, 'memory_percent': 90.4, 'disk_percent': 77.7, 'net_sent': 43175692, 'net_recv': 644152359}
2025-06-27 12:14:15 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:14', 'cpu_percent': 15.2, 'memory_percent': 90.2, 'disk_percent': 77.7, 'net_sent': 43329093, 'net_recv': 644326210}
2025-06-27 12:14:26 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:25', 'cpu_percent': 12.6, 'memory_percent': 90.6, 'disk_percent': 77.7, 'net_sent': 43348007, 'net_recv': 644362464}
2025-06-27 12:14:37 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:36', 'cpu_percent': 22.5, 'memory_percent': 92.6, 'disk_percent': 77.7, 'net_sent': 43403326, 'net_recv': 644409351}
2025-06-27 12:14:48 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:47', 'cpu_percent': 43.7, 'memory_percent': 92.9, 'disk_percent': 77.7, 'net_sent': 43544740, 'net_recv': 644466442}
2025-06-27 12:14:59 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:14:58', 'cpu_percent': 68.7, 'memory_percent': 91.3, 'disk_percent': 77.7, 'net_sent': 43653536, 'net_recv': 644556724}
2025-06-27 12:15:10 [INFO] Метрики собраны: {'timestamp': '2025-06-27 12:15:09', 'cpu_percent': 26.9, 'memory_percent': 86.5, 'disk_percent': 77.7, 'net_sent': 43662749, 'net_recv': 644566866}
2025-06-27 12:15:44,172 [INFO] Метрики: {'timestamp': '2025-06-27 12:15:43', 'cpu_percent': 17.1, 'memory_percent': 85.4, 'disk_percent': 77.7, 'net_sent': 43743103, 'net_recv': 644678857, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:15:55,199 [INFO] Метрики: {'timestamp': '2025-06-27 12:15:54', 'cpu_percent': 5.6, 'memory_percent': 85.9, 'disk_percent': 77.7, 'net_sent': 43832833, 'net_recv': 644800273, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:16:06,223 [INFO] Метрики: {'timestamp': '2025-06-27 12:16:05', 'cpu_percent': 25.2, 'memory_percent': 87.6, 'disk_percent': 77.7, 'net_sent': 43835575, 'net_recv': 644802015, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:16:17,253 [INFO] Метрики: {'timestamp': '2025-06-27 12:16:16', 'cpu_percent': 17.1, 'memory_percent': 88.5, 'disk_percent': 77.7, 'net_sent': 44115002, 'net_recv': 644948008, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:16:28,296 [INFO] Метрики: {'timestamp': '2025-06-27 12:16:27', 'cpu_percent': 69.9, 'memory_percent': 88.0, 'disk_percent': 77.7, 'net_sent': 44173533, 'net_recv': 645060575, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:16:39,307 [INFO] Метрики: {'timestamp': '2025-06-27 12:16:38', 'cpu_percent': 15.7, 'memory_percent': 87.8, 'disk_percent': 77.7, 'net_sent': 44184809, 'net_recv': 645073616, 'load_avg_1min': 0.0, 'load_avg_5min': 0.0, 'load_avg_15min': 0.0}
2025-06-27 12:16:50,342 [INFO] Метрики: {'timestamp': '2025-06-27 12:16:49', 'cpu_percent': 64.4, 'memory_percent': 92.6, 'disk_percent': 77.7, 'net_sent': 44212428, 'net_recv': 645106575, 'load_avg_1min': 0.29, 'load_avg_5min': 0.07, 'load_avg_15min': 0.02}
2025-06-27 12:17:01,364 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:00', 'cpu_percent': 24.4, 'memory_percent': 91.3, 'disk_percent': 77.7, 'net_sent': 44459447, 'net_recv': 645417239, 'load_avg_1min': 0.25, 'load_avg_5min': 0.06, 'load_avg_15min': 0.02}
2025-06-27 12:17:12,385 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:11', 'cpu_percent': 6.0, 'memory_percent': 83.9, 'disk_percent': 77.7, 'net_sent': 44990723, 'net_recv': 646411641, 'load_avg_1min': 0.21, 'load_avg_5min': 0.06, 'load_avg_15min': 0.02}
2025-06-27 12:17:23,411 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:22', 'cpu_percent': 19.9, 'memory_percent': 79.4, 'disk_percent': 77.7, 'net_sent': 45112266, 'net_recv': 646539501, 'load_avg_1min': 0.25, 'load_avg_5min': 0.08, 'load_avg_15min': 0.03}
2025-06-27 12:17:34,433 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:33', 'cpu_percent': 22.0, 'memory_percent': 75.8, 'disk_percent': 77.7, 'net_sent': 45149078, 'net_recv': 648022435, 'load_avg_1min': 0.2, 'load_avg_5min': 0.07, 'load_avg_15min': 0.03}
2025-06-27 12:17:46,029 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:44', 'cpu_percent': 55.2, 'memory_percent': 81.0, 'disk_percent': 77.7, 'net_sent': 45176028, 'net_recv': 648058868, 'load_avg_1min': 0.75, 'load_avg_5min': 0.2, 'load_avg_15min': 0.07}
2025-06-27 12:17:57,046 [INFO] Метрики: {'timestamp': '2025-06-27 12:17:56', 'cpu_percent': 14.0, 'memory_percent': 86.4, 'disk_percent': 77.7, 'net_sent': 45229108, 'net_recv': 648100941, 'load_avg_1min': 0.8, 'load_avg_5min': 0.23, 'load_avg_15min': 0.08}
2025-06-27 12:18:08,078 [INFO] Метрики: {'timestamp': '2025-06-27 12:18:07', 'cpu_percent': 19.5, 'memory_percent': 87.5, 'disk_percent': 77.7, 'net_sent': 45348119, 'net_recv': 648241700, 'load_avg_1min': 0.68, 'load_avg_5min': 0.22, 'load_avg_15min': 0.08}
2025-06-27 12:18:19,267 [INFO] Метрики: {'timestamp': '2025-06-27 12:18:18', 'cpu_percent': 77.9, 'memory_percent': 88.0, 'disk_percent': 77.7, 'net_sent': 45452898, 'net_recv': 648354246, 'load_avg_1min': 0.57, 'load_avg_5min': 0.21, 'load_avg_15min': 0.08}
2025-06-27 12:18:30,288 [INFO] Метрики: {'timestamp': '2025-06-27 12:18:29', 'cpu_percent': 5.5, 'memory_percent': 87.1, 'disk_percent': 77.7, 'net_sent': 45553733, 'net_recv': 648491666, 'load_avg_1min': 0.45, 'load_avg_5min': 0.2, 'load_avg_15min': 0.08}
